Frame,Time,mount,dx,dy,RARawDistance,DECRawDistance,RAGuideDistance,DECGuideDistance,RADuration,RADirection,DECDuration,DECDirection,XStep,YStep,StarMass,SNR,ErrorCode
1,22:45,Mount,-0.274,-0.261,0.333,-0.181,0.21,0,16,W,0,,,,100860,20.24,0
2,22:50,Mount,0.453,-0.587,-0.283,-0.685,-0.164,-0.685,12,E,46,N,,,102020,20.25,0
3,22:55,Mount,-0.098,-0.397,0.199,-0.357,0,-0.357,0,,24,N,,,96107,20.15,0
4,23:00,Mount,-0.556,-0.679,0.715,-0.509,0.45,-0.509,34,W,35,N,,,106439,19.94,0
5,23:05,Mount,-0.154,-0.533,0.288,-0.474,0.213,-0.474,16,W,32,N,,,94902,21.56,0
6,23:10,Mount,0.394,0.172,-0.426,0.063,-0.253,0,19,E,0,,,,94577,18.54,0
7,23:15,Mount,-0.137,-0.285,0.207,-0.239,0.113,-0.239,8,W,16,N,,,107012,21.75,0
8,23:20,Mount,-0.278,-0.833,0.487,-0.731,0.314,-0.731,23,W,50,N,,,103179,21.82,0
9,23:25,Mount,0.274,-0.489,-0.136,-0.544,0,-0.544,0,,37,N,,,105120,19.92,0
10,23:30,Mount,0.552,-0.561,-0.385,-0.686,-0.243,-0.686,18,E,46,N,,,97342,20.47,0
11,23:35,Mount,-0.071,-1.46,0.452,-1.391,0.268,-1.391,20,W,94,N,,,101783,20.03,0
12,23:40,Mount,0.458,-0.196,-0.391,-0.31,-0.227,-0.31,17,E,21,N,,,68914,20.92,0
13,23:45,Mount,-0.067,-0.292,0.141,-0.264,0,-0.264,0,,18,N,,,97337,19.24,0
14,23:50,Mount,-0.142,0.166,0.093,0.197,0,0,0,,0,,,,98641,20.48,0
15,23:55,Mount,0.347,-0.611,-0.174,-0.681,0,-0.681,0,,46,N,,,104369,19.51,0
16,00:00,Mount,-0.869,-0.283,0.913,-0.045,0.575,0,43,W,0,,,,86050,17.82,0
17,00:05,Mount,-0.054,0.939,-0.195,0.92,0,0.92,0,,62,S,,,97512,19.55,0
18,00:10,Mount,0.202,0.371,-0.293,0.305,-0.184,0.305,14,E,21,S,,,110007,22.76,0
19,00:15,Mount,-0.014,0.14,-0.023,0.139,0,0,0,,0,,,,101256,21.43,0
